Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota,Geocoding_Status
GS Supermarket,supermarket,,-6.278037099999999,106.9910525,Jalan Kemang Pratama Raya,Bekasi,success
"Mas Thole, Bakso & Mie Ayam",restaurant,"meat_ball,_chicken noodle",-6.3291014,106.9532525,Jalan Pasar Bambu,Bekasi,success
RM Bagindo,restaurant,,-6.2804838,107.0870162,Jalan Inspeksi Kalimalang,Gandasari,success
Ceria Mart,convenience,,-6.4660247,107.0601726,Jalan Jonggol Dayeuh,Bogor,success
Kinarya's House,guest_house,,-6.221453899999999,107.0023672,Jalan KH Muchtar Tabrani,Bekasi,skip
Restaurant 123,restaurant,regional,-6.589066099999998,107.43267559999998,Jalan Raya Bandung - Purwakarta,Purwakarta,success
Ewok Steam and Cafe,cafe,regional,-6.323243699999999,106.9621472,Jalan Cendana,Kabupaten Bogor,success
Mini Market,convenience,,-6.353026999999999,107.3712608,Jalan Pejuang,Karawang,success
Mini Market Indomaret Loji,convenience,,-6.5163678,107.227817,Jalan Transyogi,Karawang,success
황금식당,restaurant,,-6.1587725,106.9070687,Jalan Boulevard Raya,Jakarta Utara,success
Giant Mega Bekasi Hypermall,supermarket,,-6.2493694,106.9922246,Jalan Jendral Ahmad Yani,South Bekasi,skip
Super Indo Bulak Kapal,convenience,,-6.2493004,107.0235494,Jl. Bulak Kapal,"Bekasi, West Java",skip
HARRIS Hotel & Conventions Kelapa Gading,hotel,,-6.1574195,106.91016659999998,Jl. Bulevar Kelapa Gading Blok M,"Kelapa Gading, North Jakarta",skip
Amaris Hotel Bekasi Barat,hotel,,-6.2532451,106.9915788,Jl. Ahmad Yani No. 99,Bekasi Barat,skip
Fave Hotel Jakarta Gading,hotel,,-6.161190899999999,106.9082509,Jl. Gading Indah Raya,"Gading, North Jakarta",skip
Pujasera,food_court,,-6.266676199999999,107.1065444,Jalan Taman Aster,Telagaasih,success
KFC,fast_food,chicken,-6.222443899999999,106.92347599999998,Jalan Radin Inten,"Duren Sawit, East Jakarta",skip
McDonald's,fast_food,burger,-6.2487333,106.9568407,McDonald's Drive-through,"Jakasampurna, Bekasi",success
Naga Swalayan Kranji,supermarket,,-6.225083799999999,106.9795567,Jl. Sultan Agung,"Kranji, Bekasi",skip
OTW Food Street,restaurant,,-6.170283499999999,106.9034437,Jl. Kelapa Kopyor Raya Blok BA 2,"Kelapa Gading, North Jakarta",skip
Vila Mahkota Pesona,guest_house,,-6.321267,106.9628124,Jalan Mahkota Raya,Bogor City,skip
ropisbak ghifari grab,cafe,,-6.249901499999999,106.9081626,"Jl. Pangkalan Jati III, Cipinang Melayu, Makasar",East Jakarta,skip
Gading Indah Hotel,hotel,,-6.159943599999999,106.9174531,Jl. Pegangsaan Dua No.10,North Jakarta,skip
KFC Kalimalang,fast_food,,-6.2453959,106.9099588,Jl. Masjid Al-Wustho Blok E No.18,East Jakarta,skip
Total Buah Segar Boulevard Raya,supermarket,,-6.168991600000001,106.9003313,Kelapa Gading Boulevard,North Jakarta,skip
Gudang Buah Segar Abadi Ruko Kranji,supermarket,,-6.2291892,106.9766656,Jl. Pemuda Kranji,Bekasi City,skip
Holland Bakery Pekayon,bakery,,-6.261776000000001,106.9873795,Jl. Raya Pekayon,West Java,skip
Clairmont Kelapa Gading,bakery,,-6.1666227,106.90120869999998,Jl. Nirwana Boulevard,"Tanah Tinggi, North Jakarta",skip
Hotel Santika Kelapa Gading,hotel,,-6.150085299999999,106.902761,Jl. Raya Kelapa Nias,"Kelapa Gading, North Jakarta",skip
Harvest Cibubur,bakery,,-6.388248699999999,106.9428169,Jalan Raya Transyogie Km. 6,"Cibubur, East Jakarta",skip
Holland Bakery,bakery,,-6.249338999999999,106.9525923,Jalan Raya Kalimalang,Bekasi,skip
Holland Bakery Jati Makmur,bakery,,-6.2855568,106.93575099999998,Jalan Raya Jati Makmur,Bekasi,skip
Holland Bakery Pondok Kelapa,bakery,,-6.2297876,106.9351,Jl. Raya Pondok Kelapa Blok C 4,East Jakarta,skip
Holland Bakery Pondok Kopi,bakery,,-6.231875699999999,106.9429126,Jl. Pondok Kopi Raya,East Jakarta,skip
Clairmont Bekasi,bakery,,-6.186031999999999,106.9795866,Jl. Bulevar Hijau Raya,"Medan Satria, Bekasi",skip
Holland Bakery Kelapa Gading Timur,bakery,,-6.161615699999999,106.9076101,Jalan Raya Timur Boulevard,"Gading, North Jakarta",skip
Holland Bakery Semper,bakery,,-6.125066,106.91670279999998,Jl. Kramat Jaya Raya,North Jakarta,skip
Holland Bakkery Koja,bakery,,-6.1135973,106.9031901,Jl. Rawa Badak,North Jakarta,skip
Dapur Cokelat Kelapa Gading,bakery,,-6.1489193,106.9007312,Jalan Kelapa Nias Raya Blok QE1,"Kelapa Gading, North Jakarta",skip
Holland Bakery Bekasi,bakery,,-6.2407409,106.9924842,Ahmad Yani,Bekasi,skip
Dapur Cokelat Harapan Indah,bakery,,-6.186850700000001,106.9773949,Jalan Harapan Indah Raya,"Harapan Indah, Bekasi",skip
Holland Bakery Cibitung,bakery,,-6.266935,107.0790979,Jl. Teuku Umar,Bekasi,skip
Holland Bakery De Minimalis,bakery,,-6.2658907,107.0164414,"Jalan Jatimulya,",Bekasi,skip
Dapur Cokelat Cibubur,bakery,,-6.388577299999999,106.94274559999998,Jl. Alternatif Cibubur,"Cibubur, East Jakarta",skip
Dapur Cokelat Galaxy,bakery,,-6.269933299999998,106.9716405,Jl. Pulo Sirih Utama,Bekasi,skip
Holland Bakery Narogong,bakery,,-6.310426699999999,106.9850694,Jl. Raya Narogong Km. 10,Bekasi,skip
Holland Bakery Karawang,bakery,,-6.3162807,106.9240593,Jl. Raya Hankam,Bekasi,skip
Holland Bakery Cibubur,bakery,,-6.375775999999998,106.9003985,JL. Arteri Cibubur,"Cibubur, East Jakarta",skip
Dunkin',fast_food,donut;coffee_shop,-6.2856423,106.9118736,Jl. Raya Pondok Gede Jati Rahayu,"Bekasi, West Java",skip
Domino's Pizza,fast_food,pizza,-6.2749005,106.9869295,Jalan Kemang Pratama,Bekasi,success
Restoran Sederhana,restaurant,padang,-6.2761439,106.9882017,Jalan Kemang Pratama,Bekasi,skip
HEMA Resto,restaurant,,-6.275668,106.9875335,Jalan Kemang Pratama,Bekasi,success
Mie Pangsit Simpur,restaurant,,-6.276670299999998,106.9890185,Jalan Kemang Pratama,Bekasi,skip
Kemang Bakery,bakery,,-6.276618999999999,106.98893929999998,Jalan Kemang Pratama,Bekasi,skip
Restoran Zharrini,restaurant,,-6.276953099999999,106.9894926,Jalan Kemang Pratama,Bekasi,skip
A&W,fast_food,,-6.2779636,106.9911474,Jalan Kemang Pratama,Bekasi,success
Baskin-Robbins,ice_cream,ice_cream,-6.2778836,106.9909489,Jalan Kemang Pratama,Bekasi,success
McDonald Mustikajaya,restaurant,fried_chicken,-6.3213575,107.01583469999998,Jl. Setu - Bantar Gebang,Bekasi,skip
Ayam Lepas,restaurant,chicken,-6.309619699999999,107.0226203,Jalan Zamrud Utara,Bekasi,skip
Yokobento,restaurant,japanese,-6.3099573,107.0222423,Jalan Zamrud Utara,Bekasi,skip
Moo Nyusu,cafe,ice_cream,-6.312403399999999,107.02205130000002,Jalan Zamrud Utara,Bekasi,skip
Susu Moo,cafe,ice_cream,-6.3095225,107.02277449999998,Jalan Zamrud Utara,Bekasi,skip
Happiness Cofee and Food,cafe,regional,-6.3139635,107.0215789,Jl. Zamrud Utama,Bekasi,skip
Zamrud Bakery,restaurant,bread,-6.3143264,107.0214921,Jl. Zamrud Utama,Bekasi,skip
Nasi Padang Sederhana,restaurant,,-6.3094622,107.0228867,Jalan Zamrud Utara,Bekasi,success
HAS Fried Chicken,restaurant,fried_chicken,-6.308275999999999,107.027134,Jalan Zamrud Utara,Bekasi,skip
Bandar Djakarta,seafood,,-6.2267286,106.99722719999998,Jalan Bulevar Ahmad Yani,Bekasi,success
Premier Riviera residence,apartment,,-6.2045134,106.9043891,Jalan Bekasi Timur,Jakarta Timur,success
hotel danker,hotel,,-6.2582159,107.1428489,Jalan Yos Sudarso,Cikarang,success
Sentul Eco-Edu Tourism Forest,park,,-6.571206899999999,106.9130738,Jalan Jungleland,Bogor,success
Bakso wonogiri,restaurant,regional,-6.418102,107.0296185,Jalan Raya Cileungsi-Jonggol,Bogor,success
Bu Luluk - Ayam Kampung Kremes & Jamur,fast_food,asian,-6.239199999999999,106.938639,Jalan Perumkar DKI Blok M2,Jakarta Timur,success
Sate Maranggi Cibungur,restaurant,regional,-6.4717694,107.4804409,Jalan Raya Ciwangi,Purwakarta,success
KFC Mustika Jaya,fast_food,chicken,-6.3209079,107.0164322,Jalan Raya Zamrud Selatan,Bekasi,success
Tokofrozenfood,fast_food,frozen_food;frozen_yogurt;nugget,-6.211585599999999,106.9991606,Jl. Pesona Anggrek,Bekasi,skip
MOKKA,cafe,,-6.3999156,106.97587819999998,Jalan Kota Taman Metropolitan,Bogor,success
Dunkin' Donuts,fast_food,donut;coffee,-6.399901899999999,106.9760123,Jalan Kota Taman Metropolitan,Bogor,success
Cemera Indah Hotel,hotel,,-6.484637899999999,107.1060784,Jalan Transyogi,Bogor,success
Bakso,restaurant,,-6.399816499999998,106.9761481,Jalan Kota Taman Metropolitan,Bogor,success
Grand Festival,food_court,,-6.3227405,107.0367657,Jl.Grand Residence Boulevard,Bekasi,skip
Hotel Ciputra Cibubur,hotel,,-6.3827765,106.92579,Jalan Mal Ciputra,Bekasi,success
RUKO RR BOULEVARD,food_court,,-6.330382,107.0334349,Jalan Grand Residence City Boulevard,Cijengkol,success
GRAND LAKE SNACK COURT,food_court,,-6.331378699999999,107.03229539999998,JL. GRAND RESIDENCE CITY BOULEVARD,Setu,success
INDOMARET,convenience,,-6.3261993,107.03595009999998,JL. GRAND RESIDENCE CITY BOULEVARD,Cijengkol,success
Toko kiki,supermarket,,-6.286860199999999,107.3997898,Jalan Syeh Quro,Talagasari,success
HARRIS Hotel & Conventions Bekasi,hotel,,-6.224852699999999,107.00178339999998,Jalan Bulevar Ahmad Yani,Bekasi,success
Hotel Java Palace,hotel,,-6.2972039,107.1488985,Jalan Industri Utara 1,Pasirsari,success
Ikkudo Ichi,restaurant,japanese,-6.3459065,107.165363,Jalan Mataram,Jayamukti,success
Celecton Cikarang,hotel,,-6.3392293,107.12078049999998,Jalan Mahoni 1,,success
Kantin RW 12,food_court,,-6.162890099999999,106.9136184,Jalan Kelapa Lilin Timur,Jakarta Utara,success
Rumah Makan Sakura,restaurant,,-6.428089699999999,107.4278317,Jalan Tol Cikampek–Purwakarta–Padalarang,Karawang,success
Warbune Jakarta,cafe,german,-6.252161399999999,106.9224712,Jalan Ganesha,DKI Jakarta,skip
CFC,fast_food,,-6.3676421,107.3609337,Jalan Tol Jakarta–Cikampek,Karawang,success
FoodHall,supermarket,,-6.158029499999999,106.9073977,Jalan Boulevard Raya,Jakarta Utara,success
Tiger Sugar,beverages,,-6.158213299999999,106.9073312,Jalan Boulevard Raya,Jakarta Utara,success
The Coffee Bean & Tea Leaf,cafe,coffee_shop,-6.158326199999999,106.90725779999998,Jalan Boulevard Raya,Jakarta Utara,success
J.Co,fast_food,donut;coffee_shop,-6.158400799999999,106.907212,Jalan Boulevard Raya,Jakarta Utara,success
Bakmi Ho Liaw,restaurant,,-6.170944199999999,106.9039812,Jalan Kelapa Kopyor Raya,Jakarta Utara,success
Kopi BIlly Kelapa Gading,restaurant,,-6.1485445,106.9106984,Jalan Raya Kelapa Hybrida,Jakarta Utara,success
Toko Holly/Nainggolan,convenience,,-6.389147,107.0741068,"Gang Suhari, Kampung Leungsir, Desa Jaya Sampurna 03/02, Serang Baru, Bekasi, West Java 17330",Jayasampurna,success
3 sula coffee bar,cafe,coffee_shop,-6.274576299999999,106.9745446,Jalan Boulevard Raya Barat,Bekasi,skip
Bright food and drink,supermarket,,-6.465965799999999,107.4448221,Jalan Tol Cikampek–Purwakarta–Padalarang,Purwakarta,success
GIANT Purwakarta,supermarket,,-6.5395266,107.443151,Jalan Taman Pahlawan,Purwakarta,success
Soto Mie Bogor,restaurant,,-6.3892685,107.3953829,Jalan Tol Jakarta–Cikampek,Karawang,success
Ayam Penyet Bu Sungkono,restaurant,chicken;fish,-6.2845273,106.93697699999998,Duta Indah Raya,Bekasi,skip
Gudang Rottie,bakery,,-6.2582073,106.9495693,Jalan Caman Raya,Bekasi,success
Sabana Fried Chicken,fast_food,chicken,-6.2854384,106.93621079999998,Duta Indah Raya,Bekasi,skip
Toko Kue,bakery,,-6.351931099999999,106.9363629,Jalan Raya Mess AL,Bekasi,success
Toko Nuget Dan Sosis,butcher,,-6.351859899999999,106.93631259999998,Jalan Raya Mess AL,Bekasi,success
RM Padang,restaurant,,-6.352146,106.9385114,Jalan Wibawa Mukti II,Bekasi,success
Thai Tea,cafe,,-6.352528599999999,106.9367746,Jalan Raya Mess AL,Bekasi,success
Toko Tahu Crispy,restaurant,,-6.3525319,106.9367277,Jalan Raya Mess AL,Bekasi,success
Nasi Uduk Pak Ranim,restaurant,,-6.352464000000001,106.9374935,Jalan Wibawa Mukti II,Bekasi,success
Toko Es Kelapa,cafe,,-6.3525246,106.9370009,Jalan Wibawa Mukti II,Bekasi,success
Soto Kudus Matahari,restaurant,indonesian,-6.256765999999999,106.9665492,Jalan Matahari Raya,Bekasi,success
Warkop Matahari,cafe,Indomie,-6.256954,106.9665451,Jalan Matahari Raya,Bekasi,success
Mamasewa.com | Sewa Pompa Asi | Sewa Stroller,supermarket,,-6.1950641,106.9608562,The Royal Residence A6 No.38,DKI Jakarta,skip
Bakso Sukowati Cikeas,restaurant,Bakso;Meatball,-6.3883909,106.93874529999998,Jalan Letda Natsir,Bogor,success
Waroeng Makan Bebek Lalada,restaurant,,-6.2424095999999984,107.02639,Jalan Pahlawan,Bekasi,skip
D'Cika Cake & Bakery,bakery,,-6.2866163,106.9380949,Jalan Raya Jati Makmur,Bekasi,success
Pizza Hut Delivery,fast_food,pizza,-6.2855206,106.935677,Jalan Raya Jati Makmur,Bekasi,skip
Domino's,fast_food,pizza,-6.2853772,106.9353765,Jalan Raya Jati Makmur,Bekasi,skip
Mama Foods Agen Frozen Foods,supermarket,,-6.2277195,107.00627,Jalan Perjuangan No 28,Bekasi Utara,skip
3sulacoffeebar,cafe,coffee_shop;burger;italian,-6.273834899999999,106.97446379999998,Jalan Boulevard Raya Barat,Bekasi,skip
kopi ula,cafe,coffee_shop;burger;ice_cream;sandwich,-6.2738247,106.9744737,Jalan Boulevard Raya Timur,Bekasi,skip
Mall Citra Klender,supermarket,,-6.2141023,106.90321919999998,Jalan I Gusti Ngurah Rai,DKI Jakarta,skip
"Kedai Mie Inget, Bekasi",restaurant,asian;noodles,-6.241249399999999,106.99660409999998,Kemakmuran III,Bekasi,skip
Boba Story,cafe,coffee_shop;thai;burger;bubble_drink,-6.1608893,106.9901827,Jalan Taruma Jaya,Kabupaten Bekasi,skip
D'nomi Cafe,cafe,,-6.257776,107.101128,Jl. H. Samin,Bekasi,skip
Qulsa,convenience,,-6.3035827,106.9343694,Jl. Kecapi 3,Bekasi,skip
Maxx Coffee,cafe,coffee_shop,-6.3341797,107.1638162,Jalan Orange County Boulevard,Cibatu,success
Ibis Styles Bekasi Jatibening,hotel,,-6.252298399999999,106.9528209,Jalan Caman Raya,Bekasi,success
Nasi Goreng 14 Yuli,restaurant,,-6.2950017,106.9967563,Jalan Caringin,Bekasi,success
Sate Madura Bang Aldo,restaurant,,-6.2950084,106.996704,Jalan Caringin,Bekasi,success
Tahu Sumedang PDHR,fast_food,,-6.2951657,106.9967429,Jalan Caringin,Bekasi,success
Martabak,fast_food,,-6.294999499999999,106.9967958,Jalan Caringin,Bekasi,success
Jamu,beverages,,-6.294951099999999,106.9977118,Jalan Caringin,Bekasi,success
Warteg Jawir,restaurant,,-6.2945391,106.99638459999998,Jalan Caringin,Bekasi,success
Mutia Bakery,bakery,,-6.2956602,106.9968683,Jalan Jati Tengah,Bekasi,success
Warteg Srijaya,restaurant,warteg,-6.295077499999999,106.9983197,Gang Haji Siin,Bekasi,success
Mie Ayam Jamin,fast_food,,-6.287511499999999,107.00121559999998,Jalan Makrik,Bekasi,success
Gorengan,fast_food,,-6.286517699999999,107.0026979,Jalan Bojong Permai Raya,Bekasi,success
RM Anisa Jaya,restaurant,,-6.265076199999999,107.0106743,Jalan Pondok Hijau Raya,Bekasi,success
Mie Agung,restaurant,,-6.265094899999999,107.0106327,Jalan Pondok Hijau Raya,Bekasi,success
Bu Tris,restaurant,,-6.297366800000001,107.0174062,Jalan Raya Mustikajaya,Bekasi,success
Warung Nasi Kuningan,restaurant,,-6.281328299999999,106.99889009999998,Jalan Dalang,Bekasi,success
Sinar Minang,restaurant,,-6.281036099999998,106.99859549999998,Jalan Dalang,Bekasi,success
Warsun,restaurant,,-6.2809746,106.9983234,Jalan Dalang,Bekasi,success
Soto Mie Bogor Pak Adeng Slamat,restaurant,,-6.280987299999999,106.99836899999998,Jalan Dalang,Bekasi,success
Warkop Ridwan 2,fast_food,,-6.2810067,106.9984435,Jalan Dalang,Bekasi,success
Donat,fast_food,,-6.295050499999999,106.9970123,Jalan Caringin,Bekasi,success
Soto,restaurant,,-6.2950969,106.9973912,Jalan Caringin,Bekasi,success
Nasi Uduk Bu Caplin,restaurant,,-6.2950323,106.9974301,Jalan Caringin,Bekasi,success
Pd. Kopi,apartment,,-6.2321667,106.93794049999998,Jalan Haji Mansur,Jakarta Timur,success
RM Padang Anda,restaurant,,-6.295062,106.9976228,Jalan Caringin,Bekasi,success
Kabita,fast_food,juice,-6.278816,107.0252913,Jalan Rawa Mulya,Lambangsari,success
Indomart,convenience,,-6.217284299999999,106.939792,Jalan Makmur Gang 1,Jakarta Timur,success
Warteg Barokah I,restaurant,,-6.270618999999999,107.00616800000002,Jalan Pengasinan Raya,Bekasi,success
Warmindo,restaurant,,-6.298076000000001,106.9999536,Jalan Mandor Demong,Bekasi,success
Soto Mie Bogor A'Aden,restaurant,,-6.2982093,107.0001125,Jalan Mandor Demong,Bekasi,success
RM Pancuran Tujuh,restaurant,,-6.298187999999998,107.0000294,Jalan Mandor Demong,Bekasi,success
Warteg,restaurant,,-6.2729667,107.01791489999998,Jalan Jampang,Lambangsari,success
Kopi Terpingkal,cafe,coffee;tea;milk;espresso,-6.2802905,106.9984834,Jalan Trisatya No. 3 RT 2/4 Kel. Bojong Rawalumbu Kec. Rawalumbu,Bekasi,skip
Bakmi Jawa Miroso,restaurant,,-6.2630447,106.9461635,Jalan Caman Raya,Bekasi,success
Grand Caman Hotel,hotel,,-6.2641382,106.94480409999998,Jalan Caman Raya,Bekasi,success
Starbucks,cafe,coffee_shop,-6.248994599999999,106.95617769999998,Jalan Tol Lingkar Luar Jakarta,Bekasi,success
Total Buah Segar,supermarket,,-6.228054299999999,107.0023134,Jalan Bulevar Selatan,Bekasi,success
Bi-One Hotel,hotel,,-6.2486765,106.9555193,Jalan Tol Lingkar Luar Jakarta,Bekasi,success
Hotel Phoenix Diron,hotel,,-6.249405800000001,106.9554372,Jalan Raya Kalimalang,Bekasi,success
Chatime,cafe,bubble_tea,-6.2526806,106.9524906,Jalan Caman Raya,Bekasi,success
KGV 2 Blok E2/10,cafe,coffee_shop,-6.346452500000001,107.30043829999998,Jl. Bahama 2,Karawang,skip
Kopi Kawaji,cafe,,-6.256228299999998,106.934745,Jalan Persada Golf Raya,Bekasi,success
Arung Coffee,cafe,,-6.262104999999998,106.94451379999998,Jalan Jatibening,Bekasi,success
Nara Coffee,cafe,,-6.262700899999998,106.9450202,Jalan Jatibening,Bekasi,success
Oppi Kopi Bekasi,cafe,coffee_shop,-6.2412654,106.9967179,Jl kemakmuran 3 no 44 Rt 04/ Rw 04 Kel margajaya Kec bekasi selatan,Bekasi,skip
Oppi Kopi,cafe,coffee_shop,-6.3945667,106.9593192,"Jl.Pahlawan, Kampung tengah no.1, Cileungsi",Limus Nunggal,skip
Kedai Pradipa,restaurant,Satay;fried_chicken,-6.396549999999999,106.9432321,Ruko Little China,Bogor,skip
IT Center ID | JSR B2/21,supermarket,,-6.363036,107.0933368,Jln. Kongsi 2,Kab. Bekasi,skip
Ameira Bakery,bakery,,-6.2565444,106.9423351,Jalan Kincan Raya,Bekasi,success
Kopi Kenangan,cafe,,-6.252343899999999,106.95261159999998,Jalan Caman Raya,Bekasi,success
Janji Jiwa,cafe,,-6.2524471,106.9525792,Jalan Caman Raya,Bekasi,success
Soto Gading Kalibata,restaurant,indonesian,-6.2751561,106.9749104,Jalan Ruko Sentra Komersial 6,Bekasi,success
MÜZE Coffee & Eatery,cafe,,-6.2527554,106.95247349999998,Jalan Caman Raya,Bekasi,success
Yoshinoya,fast_food,beef_bowl,-6.2487272,106.9573451,McDonald's Drive-through,Bekasi,success
Abuba Steak,restaurant,,-6.248321399999999,106.9573409,McDonald's Drive-through,Bekasi,success
Warunk Sugih,cafe,coffee_shop;japanese;korean,-6.2754397,106.951857,Jalan Dokter Ratna,Bekasi,skip
Zuri Express,hotel,,-6.3279268,107.1262837,Jalan Kemang Raya,Sukaresmi,success
Shell,convenience,,-6.367502699999999,106.96917729999998,Jalan Canadian Brodway,Bogor,success
Mc Donald Kosambi Karawang,restaurant,,-6.3671067,107.3687252,Jalan Raya Klari,Karawang,success
Talaga Sampireun,restaurant,indonesian,-6.244734899999999,106.958393,Jalan Haji Aip Raya,Bekasi,success
RM. Saung Kabogoh Cikampek,restaurant,,-6.398924799999999,107.46165469999998,Jalan Cikampek Tirtamulya,Karawang,success
Paseban KLM,cafe,international;coffee_shop,-6.3669672,106.93114629999998,Jalan Ampel,Bekasi,skip
Golden Lamian,restaurant,,-6.2724198,106.9125508,Jalan Sosial,Bekasi,success
"Loven,s Indomaret @SegaraCity",supermarket,,-6.117170600000001,107.00188149999998,"Jl. Segara City Regency, Segarajaya, Kec. Tarumajaya, Kabupaten Bekasi",Kab Bekasi,skip
Sambal Hijau,restaurant,indonesian,-6.2637966,106.9504401,Jalan Dokter Ratna,Bekasi,success
Toko Pakaian Angga Bekasi,supermarket,,-6.1766013,107.0090608,Jalan Nakula 1,Bekasi,success
RM Minang Sepakat,restaurant,indonesian,-6.3416094,107.120366,Jalan Raya Cibarusah,Serang,success
Lapten,food_court,,-6.2705226,106.9863253,Jalan Taman Pratama,Bekasi,success
Kemang Bistro,restaurant,indonesian,-6.2705051,106.9868953,Jalan Kemang Pratama,Bekasi,success
Super Indo,supermarket,,-6.3197942,106.967102,Jalan Raya Parpostel,Bogor,success
Dapur Mbak Mur,restaurant,,-6.2563252,106.9346905,Jalan Persada Golf Raya,Bekasi,success
Carl's Jr.,fast_food,burger,-6.2206561,106.9237935,Jalan Perumnas Raya,Jakarta Timur,success
Wingstop,fast_food,wings,-6.220655699999999,106.923833,Jalan Perumnas Raya,Jakarta Timur,success
Fish Streat,restaurant,,-6.266822799999999,106.9113609,Jalan Jati Waringin,Bekasi,success
Gubug Makan Mang Engking,restaurant,indonesian,-6.2235017,107.00220059999998,Jalan Bulevar Utara,Bekasi,success
NomiNomi Delight,restaurant,,-6.271466099999999,106.9713188,Jalan Lotus Utara,Bekasi,success
Double U Steak,restaurant,,-6.255838799999999,106.9696525,Jalan Wijaya Kusuma I,Bekasi,success
Sushi Box,restaurant,,-6.2596629,106.97147099999998,Jalan Taman Aster,Bekasi,success
Sate Madura Cak Mamat,restaurant,indonesian,-6.225334400000001,106.9318736,Jalan Malaka Raya,DKI Jakarta,skip
Warunk Upnormal,cafe,,-6.2539045,106.9092704,Jalan Jati Waringin,Jakarta Timur,success
Obonk Steak & Ribs,restaurant,,-6.2541178,106.9092996,Jalan Jati Waringin,Jakarta Timur,success
Bebek Goreng H. Slamet,restaurant,,-6.254020599999999,106.9092796,Jalan Jati Waringin,Jakarta Timur,success
Lawson,convenience,,-6.2584735,106.9279573,Jalan Tol Jakarta–Cikampek,Bekasi,success
Solaria,restaurant,,-6.2589601,106.9279629,Jalan Swakarsa,Bekasi,success
Simpang Raya,restaurant,,-6.258475499999999,106.9280495,Jalan Tol Jakarta–Cikampek,Bekasi,success
Gokana,restaurant,,-6.2584771,106.92788609999998,Jalan Tol Jakarta–Cikampek,Bekasi,success
Alfaexpress,convenience,,-6.258814799999999,106.9279997,Jalan Swakarsa,Bekasi,success
Avenzel Hotel,hotel,,-6.3745102,106.91807330000002,Jalan Keresek,Bekasi,success
Hyfresh,supermarket,,-6.337064,107.16627119999998,Jalan Jenderal Sudirman,Jayamukti,success
